artist_id,name,Genre 1,Genre 2,Genre 3,Genre 4,Genre 5,Genre 6,Genre 7
6Ip8FS7vWT1uKkJSweANQK,Dave,uk hip hop,,,,,,
1McMsnEElThX1knmY4oliG,Olivia Rodrigo,pop,,,,,,
06HL4z0CvFAxyc27GXpf02,Taylor Swift,pop,,,,,,
4oUHIQIBe0LHzYfvXNW4QM,Morgan Wallen,contemporary country,,,,,,
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,k-pop,,,,,,
2hlmm7s2ICUX0LVIhVFlZQ,Gunna,atl hip hop,melodic rap,rap,trap,,,
718COspgdWOnwOFpJHRZHS,Luke Combs,contemporary country,country,,,,,
33NVpKoXjItPwUJTMZIOiY,David Kushner,gen z singer-songwriter,singer-songwriter pop,,,,,
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,canadian contemporary r&b,canadian pop,pop,,,,
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,art pop,electropop,pop,,,,
3WGpXCj9YhhfX11TToZcXP,Troye Sivan,australian pop,pop,viral pop,,,,
5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,pop,,,,,,
7tYKF4w9nC0nq9CsPZTHyP,SZA,pop,r&b,rap,,,,
0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,hip pop,pop,queens hip hop,rap,,,
6KImCVD70vtIoJWnq6nGn3,Harry Styles,pop,,,,,,
40ZNYROS4zLfyyBSs2PGe2,Zach Bryan,classic oklahoma country,modern country pop,,,,,
78rUTD7y6Cy67W1RVzYs7t,PinkPantheress,bedroom pop,,,,,,
06HL4z0CvFAxyc27GXpf02,Taylor Swift,pop,,,,,,
5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,piano rock,pop,,,,,
6HvZYsbFfjnjFrWF950C9d,NewJeans,k-pop,k-pop girl group,,,,,
06HL4z0CvFAxyc27GXpf02,Taylor Swift,pop,,,,,,
246dkjvS1zLTtiykXe5h60,Post Malone,dfw rap,melodic rap,pop,rap,,,
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,dance pop,pop,uk pop,,,,
10exVja0key0uqUkk6LJRT,Vance Joy,folk-pop,modern rock,,,,,
0iEtIxbK0KxaSlF7G42ZOp,Metro Boomin,hip hop,rap,,,,,
06HL4z0CvFAxyc27GXpf02,Taylor Swift,pop,,,,,,
3hcs9uc56yIGFCSy9leWe7,Lil Durk,chicago drill,chicago rap,drill,hip hop,rap,trap,
4GJ6xDCF5jaUqD6avOuQT6,FIFTY FIFTY,k-pop girl group,,,,,,
4oUHIQIBe0LHzYfvXNW4QM,Morgan Wallen,contemporary country,,,,,,
06HL4z0CvFAxyc27GXpf02,Taylor Swift,pop,,,,,,
246dkjvS1zLTtiykXe5h60,Post Malone,dfw rap,melodic rap,pop,rap,,,
46pWGuE3dSwY3bMMXGBvVS,Rema,afrobeats,nigerian pop,,,,,
4GNC7GD6oZMSxPGyXy4MNB,Lewis Capaldi,pop,uk pop,,,,,
7CajNmpbOovFoOoasH2HaY,Calvin Harris,dance pop,edm,electro house,house,pop,progressive house,uk dance
718COspgdWOnwOFpJHRZHS,Luke Combs,contemporary country,country,,,,,
6l3HvQ5sa6mXTsMTB19rO5,J. Cole,conscious hip hop,hip hop,north carolina hip hop,rap,,,
4yvcSjfu4PC0CYQyLy4wSq,Glass Animals,gauze pop,indietronica,modern rock,pov: indie,shiver pop,,
06HL4z0CvFAxyc27GXpf02,Taylor Swift,pop,,,,,,
0C0XlULifJtAgn6ZNCW2eu,The Killers,alternative rock,dance rock,modern rock,permanent wave,rock,,
4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator",hip hop,rap,,,,,
06HL4z0CvFAxyc27GXpf02,Taylor Swift,pop,,,,,,
5KKpBU5eC2tJDzf0wmlRp2,RAYE,uk contemporary r&b,uk pop,,,,,
1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,big room,dance pop,edm,pop,pop dance,,
06HL4z0CvFAxyc27GXpf02,Taylor Swift,pop,,,,,,
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,pop,singer-songwriter pop,uk pop,,,,
1YRqgFNXqRyMDRr8ClS1NL,Kaliii,rap,,,,,,
06HL4z0CvFAxyc27GXpf02,Taylor Swift,pop,,,,,,
08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,album rock,classic rock,rock,soft rock,yacht rock,,
00FQb4jTyendYWaN8pK0wa,Lana Del Rey,art pop,pop,,,,,
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,pop,singer-songwriter pop,uk pop,,,,
