name,artist_id,track_id,track_name,popularity,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,"Genre 1","Genre 2","Genre 3","Genre 4","Genre 5","Genre 6","Genre 7"
DENNIS,6xlRSRMLgZbsSNd0BMobwy,0fABszUFNbNq9IW503Gj8v,Tá OK,93,0fABszUFNbNq9IW503Gj8v,0.863,0.96,11,-1.458,1,0.0492,0.497,0.00526,0.0853,0.586,130.118,92093,4,funk carioca,funk das antigas,sertanejo universitario,,
Mc Livinho,7me0S5Z40qVWj3gzyK8aC3,2uhw2oYbugGJbn10wipNX5,Novidade na Área,90,2uhw2oYbugGJbn10wipNX5,0.625,0.34,5,-12.004,1,0.0873,0.763,4.99e-05,0.354,0.36,130.231,120014,4,funk carioca,funk paulista,funk rj,sertanejo universitario,
Mc Pedrinho,1etNnR2SdlelBQAICa2Q5m,0U9CZWq6umZsN432nh3WWT,"Gol Bolinha, Gol Quadrado 2",89,0U9CZWq6umZsN432nh3WWT,0.926,0.652,11,-3.473,0,0.251,0.418,0.0,0.121,0.677,132.957,117293,4,funk carioca,funk mtg,funk paulista,,
Veigh,4YqwRbMLqGHRHLS1w2ZKse,4hKLzFvNwHF6dPosGT30ed,Novo Balanço,90,4hKLzFvNwHF6dPosGT30ed,0.836,0.499,3,-5.82,0,0.0563,0.669,0.0,0.134,0.65,124.05,140323,4,trap brasileiro,,,,
AgroPlay,0uGWkZRPp1Urk77XBrPBsZ,4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,84,4uqJelb9THHmJ3OCohg4ZJ,0.691,0.708,9,-4.821,1,0.195,0.338,0.0,0.311,0.602,160.018,173698,4,agronejo,,,,
Simone Mendes,2eK9gcJQ6uqVvJL63dnOM3,51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,90,51pxwIxDVCbFHW8oyJFQXD,0.588,0.893,6,-2.743,1,0.0866,0.176,0.0,0.803,0.626,153.778,178812,4,sertanejo,,,,
Ana Castela,2CKOmarVWvWqkNWUatHCex,4Z2i41GDQyu3KRpBavEnyR,Solteiro Forçado - Boiadeira Internacional,86,4Z2i41GDQyu3KRpBavEnyR,0.655,0.669,6,-4.047,1,0.0275,0.636,0.0,0.245,0.436,139.975,194582,4,agronejo,funk rj,sertanejo pop,,
Israel & Rodolffo,41QLxRXlc2NwfJZkHGHKid,3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,87,3PH1nUysW7ybo3Yu8sqlPN,0.625,0.916,6,-3.704,1,0.0461,0.309,0.0,0.906,0.746,153.664,168840,4,agronejo,arrocha,sertanejo,sertanejo universitario,
Vulgo FK,27azwwkxutWL1BWMkgNIh0,1Vy9Wn5sbiduZKBqBlH3Mc,Ballena,81,1Vy9Wn5sbiduZKBqBlH3Mc,0.664,0.508,9,-7.684,0,0.33,0.307,0.0,0.126,0.228,120.313,200000,4,trap brasileiro,,,,
Kadu Martins,57VQCKnZ9nhS7bvoviXuZK,4pWsXhLUdtBKlw9npIXZAl,Halls na Língua,86,4pWsXhLUdtBKlw9npIXZAl,0.833,0.676,9,-7.426,0,0.0573,0.0796,0.0,0.123,0.876,125.065,192321,4,,,,,
Zé Neto & Cristiano,487N2T9nIPEHrlTZLL3SQs,4xAGuRRKOgoaZbMGdmTD3N,Oi Balde - Ao Vivo,75,4xAGuRRKOgoaZbMGdmTD3N,0.67,0.668,2,-6.411,1,0.0459,0.601,0.0,0.803,0.552,107.995,159158,4,agronejo,arrocha,sertanejo,sertanejo universitario,
Grupo Menos É Mais,6vTqEFbTtTRJsuIpzZgjxi,4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,88,4f0aDk7HX37SfzerfznYlr,0.691,0.752,4,-6.796,0,0.157,0.708,6.07e-06,0.912,0.684,167.073,159323,4,pagode,pagode novo,,,
Dyamante DJ,3i7Bn2SoEkRVEGkdz9o6Yu,3Nvzs0cJbLwhXPPlI8xzpC,Vai Novinha Ah Ah Ah,87,3Nvzs0cJbLwhXPPlI8xzpC,0.913,0.885,0,-3.885,1,0.0509,0.169,0.00795,0.0859,0.811,130.095,123820,4,funk rj,,,,
Guilherme & Benuto,6m6e7D2TnV0aYMllFFwMxu,0redQHBfejmPUhonR5ppGC,Duas Três,88,0redQHBfejmPUhonR5ppGC,0.656,0.842,5,-3.746,0,0.201,0.574,0.0,0.689,0.721,159.918,156942,4,agronejo,arrocha,sertanejo,sertanejo universitario,
Luan Pereira,5kVgcCdPbeUwxBqWxi2Ktl,1mimc5QiUuwmVYdXkWvgOQ,MOLETOM,85,1mimc5QiUuwmVYdXkWvgOQ,0.657,0.854,8,-4.424,1,0.0761,0.177,0.0,0.382,0.714,139.958,207344,4,agronejo,,,,
Henrique & Juliano,3p7PcrEHaaKLJnPUGOtRlT,0JIYoXtJfORxI6gRpHv6ZW,Traumatizei - Ao Vivo Em Brasília,88,0JIYoXtJfORxI6gRpHv6ZW,0.483,0.91,11,-3.474,1,0.0845,0.13,0.0,0.395,0.576,166.057,172005,4,agronejo,arrocha,sertanejo,sertanejo universitario,
Luan Santana,3qvcCP2J0fWi0m0uQDUf6r,4zUFA8l78k4tCmoVuGtV8z,MEIO TERMO - Ao Vivo,87,4zUFA8l78k4tCmoVuGtV8z,0.483,0.954,9,-4.786,1,0.18,0.13,0.0,0.392,0.361,164.109,175468,4,arrocha,sertanejo,sertanejo universitario,,
Matheus & Kauan,2Z0lRIqr997lIUiPtrpKCr,4sqpSDnTrbS8v7RMNCUyqS,Não Vitalício (Nunca Mais) - Ao Vivo,88,4sqpSDnTrbS8v7RMNCUyqS,0.418,0.925,1,-2.941,1,0.385,0.396,0.0,0.766,0.627,71.49,169836,4,agronejo,arrocha,pop nacional,sertanejo,sertanejo universitario
Jung Kook,6HaGTQPmzraVmaVxvz6EUc,7x9aauaA9cu6tyfpHnqDLo,Seven (feat. Latto) (Explicit Ver.),98,7x9aauaA9cu6tyfpHnqDLo,0.802,0.832,11,-4.107,1,0.0434,0.311,0.0,0.0815,0.89,124.997,185427,4,k-pop,,,,
MC Caverinha,7tojcuXcZ7eBlQjbAc65Ee,12YCtLHGk6tP6RbHDHflCs,Cartão Black,87,12YCtLHGk6tP6RbHDHflCs,0.842,0.468,9,-8.572,0,0.637,0.255,0.0,0.202,0.547,107.727,159973,4,trap brasileiro,,,,
Marília Mendonça,1yR65psqiazQpeM79CcGh8,53PpijFATt35Zxfl6LTxoK,Leão,75,53PpijFATt35Zxfl6LTxoK,0.743,0.865,6,-3.897,1,0.0315,0.449,3.05e-06,0.297,0.794,129.999,166775,4,arrocha,sertanejo,sertanejo universitario,,
