artist_id,name,Genre 1,Genre 2,Genre 3,Genre 4,Genre 5
6xlRSRMLgZbsSNd0BMobwy,DENNIS,funk carioca,funk das antigas,sertanejo universitario,,
7me0S5Z40qVWj3gzyK8aC3,Mc Livinho,funk carioca,funk paulista,funk rj,sertanejo universitario,
1etNnR2SdlelBQAICa2Q5m,Mc Pedrinho,funk carioca,funk mtg,funk paulista,,
4YqwRbMLqGHRHLS1w2ZKse,Veigh,trap brasileiro,,,,
0uGWkZRPp1Urk77XBrPBsZ,AgroPlay,agronejo,,,,
2eK9gcJQ6uqVvJL63dnOM3,Simone Mendes,sertanejo,,,,
2CKOmarVWvWqkNWUatHCex,Ana Castela,agronejo,funk rj,sertanejo pop,,
41QLxRXlc2NwfJZkHGHKid,Israel & Rodolffo,agronejo,arrocha,sertanejo,sertanejo universitario,
27azwwkxutWL1BWMkgNIh0,Vulgo FK,trap brasileiro,,,,
57VQCKnZ9nhS7bvoviXuZK,Kadu Martins,,,,,
487N2T9nIPEHrlTZLL3SQs,Zé Neto & Cristiano,agronejo,arrocha,sertanejo,sertanejo universitario,
6vTqEFbTtTRJsuIpzZgjxi,Grupo Menos É Mais,pagode,pagode novo,,,
3i7Bn2SoEkRVEGkdz9o6Yu,Dyamante DJ,funk rj,,,,
6m6e7D2TnV0aYMllFFwMxu,Guilherme & Benuto,agronejo,arrocha,sertanejo,sertanejo universitario,
5kVgcCdPbeUwxBqWxi2Ktl,Luan Pereira,agronejo,,,,
3p7PcrEHaaKLJnPUGOtRlT,Henrique & Juliano,agronejo,arrocha,sertanejo,sertanejo universitario,
3qvcCP2J0fWi0m0uQDUf6r,Luan Santana,arrocha,sertanejo,sertanejo universitario,,
2Z0lRIqr997lIUiPtrpKCr,Matheus & Kauan,agronejo,arrocha,pop nacional,sertanejo,sertanejo universitario
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,k-pop,,,,
7tojcuXcZ7eBlQjbAc65Ee,MC Caverinha,trap brasileiro,,,,
1yR65psqiazQpeM79CcGh8,Marília Mendonça,arrocha,sertanejo,sertanejo universitario,,
7ySZCEP4HFGckYYPK5rqFI,Melody,pop nacional,pop teen brasileiro,,,
6m6e7D2TnV0aYMllFFwMxu,Guilherme & Benuto,agronejo,arrocha,sertanejo,sertanejo universitario,
41QLxRXlc2NwfJZkHGHKid,Israel & Rodolffo,agronejo,arrocha,sertanejo,sertanejo universitario,
1X6ORK7IekgmyjV6IFPszP,Gustavo Mioto,arrocha,sertanejo,sertanejo universitario,,
487N2T9nIPEHrlTZLL3SQs,Zé Neto & Cristiano,agronejo,arrocha,sertanejo,sertanejo universitario,
4YqwRbMLqGHRHLS1w2ZKse,Veigh,trap brasileiro,,,,
487N2T9nIPEHrlTZLL3SQs,Zé Neto & Cristiano,agronejo,arrocha,sertanejo,sertanejo universitario,
2h5Ha0ZiMFmOQD3iYcSXsy,KayBlack,trap brasileiro,trap funk,,,
5kVgcCdPbeUwxBqWxi2Ktl,Luan Pereira,agronejo,,,,
5nP8x4uEFjAAmDzwOEc9b8,Matuê,r&b brasileiro,rap cearense,trap brasileiro,,
1LIuN7ov1IBQDdLsU83ojl,Hugo & Guilherme,agronejo,arrocha,sertanejo,sertanejo universitario,
7MiDcPa6UiV3In7lIM71IN,Gusttavo Lima,agronejo,arrocha,sertanejo,sertanejo universitario,
1SXhEXzOTF7YeuQX59m7pT,NATTAN,forro,,,,
2UMj7NCbuqy1yUZmiSYGjJ,MC Kevin o Chris,funk 150 bpm,funk carioca,funk rj,,
1LIuN7ov1IBQDdLsU83ojl,Hugo & Guilherme,agronejo,arrocha,sertanejo,sertanejo universitario,
7KVJCU4z5L4EUHILL8aMxR,Leo Santana,arrocha,pagode baiano,pop nacional,,
1tKrZaph4cLsnEdqC5BNEQ,Clayton & Romário,agronejo,arrocha,,,
1X6ORK7IekgmyjV6IFPszP,Gustavo Mioto,arrocha,sertanejo,sertanejo universitario,,
2CKOmarVWvWqkNWUatHCex,Ana Castela,agronejo,funk rj,sertanejo pop,,
3MrDVzg7ZXaYMyQmbDInr7,WIU,trap brasileiro,,,,
4N2lyAuQF0kXt3UnsN7XZx,Belle Kaffer,,,,,
2h5Ha0ZiMFmOQD3iYcSXsy,KayBlack,trap brasileiro,trap funk,,,
5lal0BjsooQ7ON4t7B73bp,DJ Jeeh FDC,funk mtg,,,,
2h5Ha0ZiMFmOQD3iYcSXsy,KayBlack,trap brasileiro,trap funk,,,
59jlthNnbmim5l9tmNA7se,Maiara & Maraisa,sertanejo,sertanejo universitario,,,
0LyfQWJT6nXafLPZqxe9Of,Various Artists,,,,,
007FXgr0jLBJxhPJjacXQH,Eric Land,forro,,,,
7MiDcPa6UiV3In7lIM71IN,Gusttavo Lima,agronejo,arrocha,sertanejo,sertanejo universitario,
5JbQpbeFaKfuZVFzKwaawP,MC Rogerinho,arrocha,batidao romantico,,,
