name,artist_id,track_id,track_name,popularity
Mc Livinho,7me0S5Z40qVWj3gzyK8aC3,2uhw2oYbugGJbn10wipNX5,Novidade na Área,90
DENNIS,6xlRSRMLgZbsSNd0BMobwy,0fABszUFNbNq9IW503Gj8v,Tá OK,92
Vulgo FK,27azwwkxutWL1BWMkgNIh0,1Vy9Wn5sbiduZKBqBlH3Mc,Ballena,84
Mc Pedrinho,1etNnR2SdlelBQAICa2Q5m,0U9CZWq6umZsN432nh3WWT,"Gol Bolinha, Gol Quadrado 2",89
Veigh,4YqwRbMLqGHRHLS1w2ZKse,4hKLzFvNwHF6dPosGT30ed,Novo Balanço,90
AgroPlay,0uGWkZRPp1Urk77XBrPBsZ,4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,84
Ana Castela,2CKOmarVWvWqkNWUatHCex,4Z2i41GDQyu3KRpBavEnyR,Solteiro Forçado - Boiadeira Internacional,87
Simone Mendes,2eK9gcJQ6uqVvJL63dnOM3,51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,89
Israel & Rodolffo,41QLxRXlc2NwfJZkHGHKid,3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,86
Kadu Martins,57VQCKnZ9nhS7bvoviXuZK,4pWsXhLUdtBKlw9npIXZAl,Halls na Língua,86
Zé Neto & Cristiano,487N2T9nIPEHrlTZLL3SQs,4xAGuRRKOgoaZbMGdmTD3N,Oi Balde - Ao Vivo,75
Grupo Menos É Mais,6vTqEFbTtTRJsuIpzZgjxi,4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,87
Luan Pereira,5kVgcCdPbeUwxBqWxi2Ktl,1mimc5QiUuwmVYdXkWvgOQ,MOLETOM,86
Dyamante DJ,3i7Bn2SoEkRVEGkdz9o6Yu,3Nvzs0cJbLwhXPPlI8xzpC,Vai Novinha Ah Ah Ah,87
Guilherme & Benuto,6m6e7D2TnV0aYMllFFwMxu,0redQHBfejmPUhonR5ppGC,Duas Três,88
Luan Santana,3qvcCP2J0fWi0m0uQDUf6r,4zUFA8l78k4tCmoVuGtV8z,MEIO TERMO - Ao Vivo,87
Henrique & Juliano,3p7PcrEHaaKLJnPUGOtRlT,0JIYoXtJfORxI6gRpHv6ZW,Traumatizei - Ao Vivo Em Brasília,88
Gusttavo Lima,7MiDcPa6UiV3In7lIM71IN,7GScY8oE12cqTiNBzVQpUB,Mala dos Porta-Mala - Ao Vivo,79
Melody,7ySZCEP4HFGckYYPK5rqFI,3P2ubMyuL9NQOVU67TVCXA,"Love, Love",84
Matheus & Kauan,2Z0lRIqr997lIUiPtrpKCr,4sqpSDnTrbS8v7RMNCUyqS,Não Vitalício (Nunca Mais) - Ao Vivo,87
MC Caverinha,7tojcuXcZ7eBlQjbAc65Ee,12YCtLHGk6tP6RbHDHflCs,Cartão Black,86
Guilherme & Benuto,6m6e7D2TnV0aYMllFFwMxu,7DkhndGTKaqkFxxKN7XlAh,Manda um Oi - Ao Vivo,86
Marília Mendonça,1yR65psqiazQpeM79CcGh8,53PpijFATt35Zxfl6LTxoK,Leão,75
Zé Neto & Cristiano,487N2T9nIPEHrlTZLL3SQs,3PqU6gHWUaBTtIZi5oxEJ7,Um Mês E Pouco - Ao Vivo,84
Gustavo Mioto,1X6ORK7IekgmyjV6IFPszP,1nf1HJdTWXwf9XHQebGlOd,Quando Apaga A Luz - Ao Vivo,82
Israel & Rodolffo,41QLxRXlc2NwfJZkHGHKid,0SCMVUZ21uYYB8cc0ScfbV,Bombonzinho - Ao Vivo,79
Zé Neto & Cristiano,487N2T9nIPEHrlTZLL3SQs,4uLzGOlqSanpNS3htaUViY,Pátio do Posto - Ao Vivo,72
Veigh,4YqwRbMLqGHRHLS1w2ZKse,39xOREhViooEYFpmnKTdrl,Engana Dizendo Que Ama,85
Leo Santana,7KVJCU4z5L4EUHILL8aMxR,15nTZqWfpXZk9Xh043Ognh,Posturado E Calmo,83
Jung Kook,6HaGTQPmzraVmaVxvz6EUc,7x9aauaA9cu6tyfpHnqDLo,Seven (feat. Latto) (Explicit Ver.),100
KayBlack,2h5Ha0ZiMFmOQD3iYcSXsy,2LTlykcdu0gwb7zcKneo2a,Melhor Só,84
Matuê,5nP8x4uEFjAAmDzwOEc9b8,3ktTWpYdXrYApH54cBo4Ap,Conexões de Máfia (feat. Rich The Kid),86
Hugo & Guilherme,1LIuN7ov1IBQDdLsU83ojl,7IPEkUJsnWYNyBkK2i2FPj,Mágica - Ao Vivo,74
Luan Pereira,5kVgcCdPbeUwxBqWxi2Ktl,3o4wcB1Y6xC62eF02n9RSZ,ELA PIROU NA DODGE RAM,85
MC Kevin o Chris,2UMj7NCbuqy1yUZmiSYGjJ,3khLpwuyIjEOw8vfJ1oUIT,Papin,85
Hugo & Guilherme,1LIuN7ov1IBQDdLsU83ojl,2pidGuLSSVZPcbzE5QA1Ux,Elevador - Ao Vivo,84
Various Artists,0LyfQWJT6nXafLPZqxe9Of,0Co2c6T1U06m4wLT6kOxdc,Poesia Acústica 14,76
NATTAN,1SXhEXzOTF7YeuQX59m7pT,2BlFIe0712LBUtTHxbqjme,Love Gostosinho - Ao Vivo,84
DJ Jeeh FDC,5lal0BjsooQ7ON4t7B73bp,5vdQUAFncALEH9EQvyAqIX,Forte Forte de Lacoste - Pra Começar o Final de Semana,84
Clayton & Romário,1tKrZaph4cLsnEdqC5BNEQ,1gUKbDEyGK4uo8t8MdjKMZ,Namorando Ou Não - Ao Vivo,65
Ana Castela,2CKOmarVWvWqkNWUatHCex,7sopDXkuzXtHt8AQpdBxmT,DONA DE MIM,84
Murilo Huff,3hq7WoPJsrRP0KMSLhUgRz,6L2ule7uWSdh1qjcMO3vUD,Quem tá Pegando,83
Gustavo Mioto,1X6ORK7IekgmyjV6IFPszP,4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,84
Maiara & Maraisa,59jlthNnbmim5l9tmNA7se,5aqwwgL4XOv2YJYwLiqKOZ,A Culpa É Nossa - Ao Vivo,72
KayBlack,2h5Ha0ZiMFmOQD3iYcSXsy,6hu4HvpNzrW2RIEEAZC3vD,Segredo,83
WIU,3MrDVzg7ZXaYMyQmbDInr7,7nFvKgVumc9FcU97zGjjei,Coração de Gelo,84
Various Artists,0LyfQWJT6nXafLPZqxe9Of,745VUhm32odbxJI2q1rUMv,Ela Voltou de Perna Bamba,84
Belle Kaffer,4N2lyAuQF0kXt3UnsN7XZx,77BR4gaUAp3p0uA8UL6HT9,Não Para,83
Lauana Prado,6TYimByryGphZCtwYopH0y,6dtQM0CXRFJgD7ifUNosZj,Desandei - Ao Vivo,83
KayBlack,2h5Ha0ZiMFmOQD3iYcSXsy,5TtTijiNYtFc6ktQARjY30,Preferida,83
