name,artist_id,track_id,track_name,popularity
Gunna,2hlmm7s2ICUX0LVIhVFlZQ,4rXLjWdF2ZZpXCVTfWcshS,a Gift & a Curse,95
Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,7K3BhSpAxZBznislvUMVtn,One Thing At A Time,90
Jung Kook,6HaGTQPmzraVmaVxvz6EUc,7x9aauaA9cu6tyfpHnqDLo,Seven (feat. Latto),98
Olivia Rodrigo,1McMsnEElThX1knmY4oliG,3k79jB4aGmMDUQzEwa46Rz,vampire,98
Dave,6Ip8FS7vWT1uKkJSweANQK,2FDTHlrBguDzQkp7PVj16Q,Sprinter,97
Luke Combs,718COspgdWOnwOFpJHRZHS,1Lo0QY9cvc8sUB2vnIOxDT,Gettin' Old,92
Taylor Swift,06HL4z0CvFAxyc27GXpf02,1BxfuPKGuaTgP7aM0Bbdwr,Lover,100
Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,4DHcnVTT87F0zZhRPYmZ3B,Endless Summer Vacation,90
Rema,46pWGuE3dSwY3bMMXGBvVS,1s7oOCT8vauUh01PbJD6ps,Rave & Roses Ultra,83
NewJeans,6HvZYsbFfjnjFrWF950C9d,5sdQOyqq2IDhvmx2lHOpwd,NewJeans 'Super Shy',94
Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,6wf7Yu7cxBSPrRlWeSeK0Q,"What Was I Made For? [From The Motion Picture ""Barbie""]",90
The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,6WzRpISELf3YglGAh7TXcG,Popular (Music from the HBO Original Series),92
Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,741UUVE2kuITl0c6zuqqbO,Barbie World (with Aqua) [From Barbie The Album],92
David Kushner,33NVpKoXjItPwUJTMZIOiY,1odExI7RdWc4BT515LTAwj,Daylight,98
Taylor Swift,06HL4z0CvFAxyc27GXpf02,5kHMfzgLZP95O9NBy0ku4v,Speak Now (Taylor's Version),93
Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,5W4kiM2cUYBJXKRudNyxjW,One Thing At A Time,87
Lil Durk,3hcs9uc56yIGFCSy9leWe7,6T7FXSuXykeGktMLGp8WgE,Almost Healed,83
Zach Bryan,40ZNYROS4zLfyyBSs2PGe2,3WMj8moIAXJhHsyLaqIIHI,Something in the Orange,90
SZA,7tYKF4w9nC0nq9CsPZTHyP,1Qrg8KqiBpW07V7PNxwwwL,SOS,94
David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),95
Harry Styles,6KImCVD70vtIoJWnq6nGn3,4Dvkj6JhhA12EX05fT7y2e,Harry's House,94
FIFTY FIFTY,4GJ6xDCF5jaUqD6avOuQT6,7FbrGaHYVDmfr7KoLIZnQ7,The Beginning: Cupid,98
OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,4h9wh7iOZ0GGn8QVp4RAOB,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",95
Luke Combs,718COspgdWOnwOFpJHRZHS,48UKTR66uUOT9LaUvooTNx,Growin' Up,84
Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,2dHHgzDwk4BJdRwy9uXhTO,HEROES & VILLAINS,95
Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,3cBsEDNhFI9E82vPj3kvi3,Dangerous: The Double Album,88
Troye Sivan,3WGpXCj9YhhfX11TToZcXP,3xIMkM5LgbVDkpO74O3Np3,Rush,87
Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,1vYXt7VSjH9JIM5oRRo7vA,Dance The Night (From Barbie The Album),95
Post Malone,246dkjvS1zLTtiykXe5h60,3t0ic4mkhvhamrKDkulB8v,Overdrive,85
Drake,3TVXtAsR1Inumwj472S9r4,3F5CgOj3wFlRv51JsHbxhe,"Honestly, Nevermind",91
Glass Animals,4yvcSjfu4PC0CYQyLy4wSq,3USxtqRwSYz57Ewm6wWRMp,Dreamland,93
Post Malone,246dkjvS1zLTtiykXe5h60,0RiRZpuVRbi7oqRdSMwhQY,Hollywood's Bleeding,88
Post Malone,246dkjvS1zLTtiykXe5h60,5w40ZYhbBMAlHYNDaVJIUu,Chemical,91
J. Cole,6l3HvQ5sa6mXTsMTB19rO5,68Dni7IE4VyPkTOH9mRWHr,2014 Forest Hills Drive,92
Drake,3TVXtAsR1Inumwj472S9r4,7aRCf5cLOFN1U7kvtChY1G,Search & Rescue,90
Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,0PAcdVzhPO4gq1Iym9ESnK,One Thing At A Time,88
"Tyler, The Creator",4V8LLVI7PbaPR0K2TGSxFF,7KA4W4McWYRpgf0fWsJZWB,Flower Boy,95
Taylor Swift,06HL4z0CvFAxyc27GXpf02,0V3wPSX9ygBnCm8psDIegu,Midnights,95
PinkPantheress,78rUTD7y6Cy67W1RVzYs7t,6AQbmUe0Qwf5PZnt4HmTXv,Boy's a liar Pt. 2,94
David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,3BKD1PwArikchz2Zrlp1qi,Baby Don't Hurt Me,94
Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,2Hh3ETdQKrmSI3QS0hme7g,HEROES & VILLAINS,92
Luke Combs,718COspgdWOnwOFpJHRZHS,1mMLMZYXkMueg65jRRWG1l,This One's for You,86
Lil Durk,3hcs9uc56yIGFCSy9leWe7,1fXnu2HzxbDtoyvFPWG3Bw,Almost Healed,87
Taylor Swift,06HL4z0CvFAxyc27GXpf02,7KokYm8cMIXCsGVmUvKtqf,Midnights,92
Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,5rurggqwwudn9clMdcchxT,METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),93
Noah Kahan,2RQXRUsr4IW1f3mKyKsy4B,0caJ2wkqp4UmXBwdR2JvB5,Stick Season (We'll All Be Here Forever),87
Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,6foY66mWZN0pSRjZ408c00,If I Know Me,86
Miguel,360IAlyVv4PCEVjgyMZrxK,0JXXNGljqupsJaZsgSbMZV,All I Want Is You,91
Charlotte Cardin,1G0YV9WooUBjrwDq0Q7EFK,0ELnNmc1vQFW3aPEzQ5zOg,Confetti,65
Tory Lanez,2jku7tDXc6XoB6MO2hFuqg,3azJifCSqg9fRij2yKIbWz,Alone At Prom,90
