name,artist_id,track_id,track_name,popularity
Jung Kook,6HaGTQPmzraVmaVxvz6EUc,7x9aauaA9cu6tyfpHnqDLo,Seven (feat. Latto),98
Keung To,0DwdA5ZgTJcIQ2uIhc110D,2CwGJLH5jTBlVQhMfjCc6e,Dummy,77
Keung To,0DwdA5ZgTJcIQ2uIhc110D,1VU4roZEde9uI25e4rUOuU,沒有翅膀的天使,72
Keung To,0DwdA5ZgTJcIQ2uIhc110D,3uHE0cVFDFDORAVhwLqL4p,追,72
Keung To,0DwdA5ZgTJcIQ2uIhc110D,11IqNbLOD4s4nVYSuEttFR,"Dear My Friend,",69
Keung To,0DwdA5ZgTJcIQ2uIhc110D,172oAbLGpgeCsukno7oBRe,風雨不改 (電影《阿媽有咗第二個》主題曲),68
Anson Lo 盧瀚霆,2G4Ntbg3dYqkUAGrMUZ0U7,7nJlkwxJSNDqO20WWeLuNX,Nah,70
NewJeans,6HvZYsbFfjnjFrWF950C9d,5sdQOyqq2IDhvmx2lHOpwd,NewJeans 'Super Shy',94
Anson Lo 盧瀚霆,2G4Ntbg3dYqkUAGrMUZ0U7,4bzylGLMAjkb8AYCcsu96R,MONEY,68
Anson Lo 盧瀚霆,2G4Ntbg3dYqkUAGrMUZ0U7,54ugnbuE4eWGhdXKMAAWFV,MONEY (Anson Lo x Dear Jane),67
陳卓賢 Ian,1qW9Pi35NXnu7Q8KWyVYe6,3mVO7XaN9ULGNuXteiCOz3,再見 寧靜海,69
(G)I-DLE,2AfmfGFbe0A0WsTYm0SDTx,4uOBL4DDWWVx4RhYKlPbPC,I feel,90
陳卓賢 Ian,1qW9Pi35NXnu7Q8KWyVYe6,6lfMr5SEeFdpMeIJxw5n1I,抱抱無尾熊,69
Anson Lo 盧瀚霆,2G4Ntbg3dYqkUAGrMUZ0U7,3b4dQtIVyVhQdbYVfrik0k,永順街39號,64
陳卓賢 Ian,1qW9Pi35NXnu7Q8KWyVYe6,6flgMTTqhbJSNryAPCYcvA,留一天與你喘息,64
YOASOBI,64tJ2EAv1R6UaZqc4iOCyj,7ovUcF5uHTBRzUpB6ZOmvt,アイドル,91
陳卓賢 Ian,1qW9Pi35NXnu7Q8KWyVYe6,2vJreatDgwtXWKpkqpPUZ3,地球上的最後一朵花,65
MC 張天賦,5tRk0bqMQubKAVowp35XtC,3x2hKSUf8O8IqI1shmxGnp,This is MC,61
Keung To,0DwdA5ZgTJcIQ2uIhc110D,1dBroK67DSaaEE5kvkVjzG,作品的說話,63
NewJeans,6HvZYsbFfjnjFrWF950C9d,6rdkCkjk6D12xRpdMXy0I2,NewJeans 'Super Shy',88
MC 張天賦,5tRk0bqMQubKAVowp35XtC,1ZrnCyms7CBYsCvkkVIkt8,記憶棉,63
MC 張天賦,5tRk0bqMQubKAVowp35XtC,3IxGmKdOkv7tgMCzyKF2Xm,This is MC,60
Olivia Rodrigo,1McMsnEElThX1knmY4oliG,3k79jB4aGmMDUQzEwa46Rz,vampire,98
Terence Lam,3tvtGR8HzMHDbkLeZrFiBI,3xO69oVpP3pSIKG9CIMEm4,怪我只敢做好人,58
IVE,6RHTUrRF63xao58xh9FXYJ,70t7Q6AYG6ZgTYmJWcnkUM,I've IVE,88
Taylor Swift,06HL4z0CvFAxyc27GXpf02,1BxfuPKGuaTgP7aM0Bbdwr,Lover,100
NewJeans,6HvZYsbFfjnjFrWF950C9d,65FftemJ1DbbZ45DUfHJXE,NewJeans 'OMG',92
JISOO,6UZ0ba50XreR4TM8u322gs,69CrOS7vEHIrhC2ILyEi0s,ME,84
Hins Cheung,2MVfNjocvNrE03cQuxpsWK,6bMgCXapeQEVFgAOr8EvgY,隱形遊樂場,62
