name,artist_id,track_id,track_name,popularity,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,"Genre 1","Genre 2","Genre 3","Genre 4"
Sachin-Jigar,1mBydYMVBECdDmMfE2sEUO,5GhNEr3AQtMhHGYLRgCSV5,"Tere Vaaste",68,5GhNEr3AQtMhHGYLRgCSV5,0.762,0.717,7,-8.316,0,0.0372,0.315,1.87e-05,0.0914,0.958,109.996,189136,4,filmi,"gujarati pop","modern bollywood",""
Shubh,5r3wPya2PpeTTsXsGhQU8O,4eBvRhTJ2AcxCsbfTUjoRp,Cheques,87,4eBvRhTJ2AcxCsbfTUjoRp,0.742,0.627,4,-8.939,0,0.0533,0.262,1.23e-05,0.269,0.356,89.998,183757,4,"desi hip hop","punjabi hip hop","",""
Sachin-Jigar,1mBydYMVBECdDmMfE2sEUO,7Ky9U9iHjGBiRax3joCRDS,"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")",70,7Ky9U9iHjGBiRax3joCRDS,0.556,0.552,4,-5.875,1,0.0373,0.531,0.0,0.121,0.531,100.051,266075,4,filmi,"gujarati pop","modern bollywood",""
"Darshan Raval",2GoeZ0qOTt6kjsWW4eA6LS,2ncqKdTj6dz7tWoTMMrAtq,"Mahiye Jinna Sohna",85,2ncqKdTj6dz7tWoTMMrAtq,0.567,0.54,1,-5.754,1,0.0406,0.736,3.17e-05,0.164,0.331,92.027,181250,4,"desi pop",filmi,"gujarati pop","modern bollywood"
"Jung Kook",6HaGTQPmzraVmaVxvz6EUc,7x9aauaA9cu6tyfpHnqDLo,"Seven (feat. Latto) (Explicit Ver.)",98,7x9aauaA9cu6tyfpHnqDLo,0.802,0.832,11,-4.107,1,0.0434,0.311,0.0,0.0815,0.89,124.997,185427,4,k-pop,"","",""
King,5NHm4TU5Twz7owibYxJfFU,1418IuVKQPTYqt7QNJ9RXN,"Maan Meri Jaan",87,1418IuVKQPTYqt7QNJ9RXN,0.698,0.505,6,-8.242,0,0.0356,0.354,0.0,0.0995,0.396,95.868,194654,4,"desi pop","hindi hip hop","",""
Shubh,5r3wPya2PpeTTsXsGhQU8O,6oz1L5jcqZWYuId7nxvIan,"Still Rollin",87,6oz1L5jcqZWYuId7nxvIan,0.881,0.431,6,-11.093,0,0.0914,0.182,0.0018,0.113,0.246,94.0,174730,4,"desi hip hop","punjabi hip hop","",""
"Riar Saab",34gAaWeYZoRER7MY3KBy1Q,6Z4rRhYZVQsYKmrxD40tru,Obsessed,87,6Z4rRhYZVQsYKmrxD40tru,0.798,0.74,5,-4.099,0,0.0861,0.616,0.0,0.084,0.851,134.932,190444,4,"punjabi pop","","",""
"Anirudh Ravichander",4zCH9qm4R2DADamUHMCa6O,1B02UI29t3PTh3m98absaP,"Naa Ready (From ""Leo"")",85,1B02UI29t3PTh3m98absaP,0.726,0.805,1,-5.576,1,0.153,0.081,0.00784,0.0318,0.572,87.956,248182,4,"desi hip hop",filmi,"tamil hip hop",""
"Various Artists",0LyfQWJT6nXafLPZqxe9Of,00ake6KfnzbZ2MaRLGqsyX,"Tum Kya Mile (From ""Rocky Aur Rani Kii Prem Kahaani"")",65,00ake6KfnzbZ2MaRLGqsyX,0.271,0.726,7,-6.504,1,0.0527,0.586,0.0,0.353,0.532,87.425,277500,4,"","","",""
