artist_id,name,Genre 1,Genre 2,Genre 3,Genre 4
1mBydYMVBECdDmMfE2sEUO,Sachin-Jigar,filmi,gujarati pop,modern bollywood,
5r3wPya2PpeTTsXsGhQU8O,Shubh,desi hip hop,punjabi hip hop,,
1mBydYMVBECdDmMfE2sEUO,Sachin-Jigar,filmi,gujarati pop,modern bollywood,
2GoeZ0qOTt6kjsWW4eA6LS,Darshan Raval,desi pop,filmi,gujarati pop,modern bollywood
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,k-pop,,,
5NHm4TU5Twz7owibYxJfFU,King,desi pop,hindi hip hop,,
5r3wPya2PpeTTsXsGhQU8O,Shubh,desi hip hop,punjabi hip hop,,
34gAaWeYZoRER7MY3KBy1Q,Riar Saab,punjabi pop,,,
4zCH9qm4R2DADamUHMCa6O,Anirudh Ravichander,desi hip hop,filmi,tamil hip hop,
0LyfQWJT6nXafLPZqxe9Of,Various Artists,,,,
6WOdPJmexxFINcKMkP2jMG,Sachet Tandon,desi pop,filmi,modern bollywood,
74RGMjbSsFv5RLj8wVx9Yv,Sharn,desi pop,,,
4Ai0pGz6GhQavjzaRhPTvz,DIVINE,desi hip hop,desi trap,hindi hip hop,
1wRPtKGflJrBx9BmLsSwlU,Pritam,filmi,indian instrumental,modern bollywood,
4zCH9qm4R2DADamUHMCa6O,Anirudh Ravichander,desi hip hop,filmi,tamil hip hop,
1wRPtKGflJrBx9BmLsSwlU,Pritam,filmi,indian instrumental,modern bollywood,
4YRxDV8wJFPHPTeXepOstw,Arijit Singh,filmi,modern bollywood,,
4wwYGgSpeBtvk5WX6HBqzw,Aditya A,desi pop,hindi indie,,
2zvJLk0gTH7r7A5Q6X5Bq8,Javed-Mohsin,desi pop,modern bollywood,,
07XZWWsqwn2QshmfoYzKIU,Sunny Yaduvanshi,,,,
09UmIX92EUH9hAK4bxvHx6,Mithoon,filmi,modern bollywood,,
2GoeZ0qOTt6kjsWW4eA6LS,Darshan Raval,desi pop,filmi,gujarati pop,modern bollywood
4gdMJYnopf2nEUcanAwstx,Anuv Jain,desi pop,hindi indie,indian indie,indian singer-songwriter
1wRPtKGflJrBx9BmLsSwlU,Pritam,filmi,indian instrumental,modern bollywood,
1n9EM0Y4A89vuRiA93gSS9,Kaifi Khalil,balochi pop,,,
1wRPtKGflJrBx9BmLsSwlU,Pritam,filmi,indian instrumental,modern bollywood,
5r3wPya2PpeTTsXsGhQU8O,Shubh,desi hip hop,punjabi hip hop,,
1sSYaQBOI71QZDZ9OWW3hp,Chani Nattan,punjabi pop,,,
3nqS8jzqmsPKFJTp0BOIel,Ikky,punjabi pop,,,
56SjZARoEvag3RoKWIb16j,B Praak,desi pop,filmi,punjabi pop,
4f7KfxeHq9BiylGmyXepGt,Tanishk Bagchi,filmi,modern bollywood,,
1wRPtKGflJrBx9BmLsSwlU,Pritam,filmi,indian instrumental,modern bollywood,
0uOUeC51AxGnP6hB8gurwt,Cheema Y,punjabi pop,,,
0LyfQWJT6nXafLPZqxe9Of,Various Artists,,,,
1SyKki7JI1AZNKwgNMkn25,Sachet-Parampara,desi pop,filmi,modern bollywood,
4VMYDCV2IEDYJArk749S6m,Daddy Yankee,latin hip hop,reggaeton,trap latino,urbano latino
3lmszXxkp47K9kDCRRPU8p,Laddi Chahal,punjabi pop,,,
0LyfQWJT6nXafLPZqxe9Of,Various Artists,,,,
4YRxDV8wJFPHPTeXepOstw,Arijit Singh,filmi,modern bollywood,,
6LEG9Ld1aLImEFEVHdWNSB,AP Dhillon,desi hip hop,desi pop,punjabi hip hop,punjabi pop
1wRPtKGflJrBx9BmLsSwlU,Pritam,filmi,indian instrumental,modern bollywood,
2kfi47LWmlXzQ3p3kWonfQ,Madhur Sharma,desi pop,,,
0LyfQWJT6nXafLPZqxe9Of,Various Artists,,,,
5wJ1H6ud777odtZl5gG507,Vishal Mishra,desi pop,filmi,modern bollywood,
5wJ1H6ud777odtZl5gG507,Vishal Mishra,desi pop,filmi,modern bollywood,
6FtZhorjCMfkaVJ7kKdmq7,Payal Dev,desi pop,filmi,modern bollywood,
1mBydYMVBECdDmMfE2sEUO,Sachin-Jigar,filmi,gujarati pop,modern bollywood,
56SjZARoEvag3RoKWIb16j,B Praak,desi pop,filmi,punjabi pop,
4PULA4EFzYTrxYvOVlwpiQ,Sidhu Moose Wala,desi hip hop,pakistani hip hop,punjabi hip hop,punjabi pop
5wJ1H6ud777odtZl5gG507,Vishal Mishra,desi pop,filmi,modern bollywood,
