name,artist_id,track_id,track_name,popularity
Sachin-Jigar,1mBydYMVBECdDmMfE2sEUO,5GhNEr3AQtMhHGYLRgCSV5,Tere Vaaste,68
Shubh,5r3wPya2PpeTTsXsGhQU8O,4eBvRhTJ2AcxCsbfTUjoRp,Cheques,87
Sachin-Jigar,1mBydYMVBECdDmMfE2sEUO,7Ky9U9iHjGBiRax3joCRDS,"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")",70
Darshan Raval,2GoeZ0qOTt6kjsWW4eA6LS,2ncqKdTj6dz7tWoTMMrAtq,Mahiye Jinna Sohna,85
Jung Kook,6HaGTQPmzraVmaVxvz6EUc,7x9aauaA9cu6tyfpHnqDLo,Seven (feat. Latto) (Explicit Ver.),98
King,5NHm4TU5Twz7owibYxJfFU,1418IuVKQPTYqt7QNJ9RXN,Maan Meri Jaan,87
Shubh,5r3wPya2PpeTTsXsGhQU8O,6oz1L5jcqZWYuId7nxvIan,Still Rollin,87
Riar Saab,34gAaWeYZoRER7MY3KBy1Q,6Z4rRhYZVQsYKmrxD40tru,Obsessed,87
Anirudh Ravichander,4zCH9qm4R2DADamUHMCa6O,1B02UI29t3PTh3m98absaP,"Naa Ready (From ""Leo"")",85
Various Artists,0LyfQWJT6nXafLPZqxe9Of,00ake6KfnzbZ2MaRLGqsyX,"Tum Kya Mile (From ""Rocky Aur Rani Kii Prem Kahaani"")",65
Sachet Tandon,6WOdPJmexxFINcKMkP2jMG,73K33p4Vyz9koXGqmL5eFs,Malang Sajna,85
Sharn,74RGMjbSsFv5RLj8wVx9Yv,24MMjyA3NLqCsDJfsn51eg,Mi Amor,82
DIVINE,4Ai0pGz6GhQavjzaRhPTvz,3GEiVoaUXq468gfYs2EPfh,Chorni,82
Pritam,1wRPtKGflJrBx9BmLsSwlU,4UMIv5jd9gK98a39BQRD9X,Kesariya,80
Anirudh Ravichander,4zCH9qm4R2DADamUHMCa6O,3M9G4jJAgDLB9ycinua8Wo,"Kaavaalaa (From ""Jailer"")",81
Pritam,1wRPtKGflJrBx9BmLsSwlU,0czcoKJbJt08NqKrvSbbz7,"O Bedardeya (From ""Tu Jhoothi Main Makkaar"")",85
Arijit Singh,4YRxDV8wJFPHPTeXepOstw,2FCXQHugkoHE1K3tiDu8pu,"Agar Tum Saath Ho (From ""Tamasha"")",80
Aditya A,4wwYGgSpeBtvk5WX6HBqzw,0snQrp1VaY5Pj1YIHRJpRJ,Chaand Baaliyan,82
Javed-Mohsin,2zvJLk0gTH7r7A5Q6X5Bq8,51DEaelXeJJ6cFFYbX8Hal,Zihaal e Miskin,83
Sunny Yaduvanshi,07XZWWsqwn2QshmfoYzKIU,4JvziZ2kQsbzfvRQtpYfmJ,Yadav Brand 2,78
Mithoon,09UmIX92EUH9hAK4bxvHx6,03hJuEQpEQERrHpjcXKWzJ,"Tumhe Kitna Pyaar Karte (From ""Bawaal"")",78
Darshan Raval,2GoeZ0qOTt6kjsWW4eA6LS,0rMeOAvbQZ2RTG4B6L1M4p,Asal Mein,81
Anuv Jain,4gdMJYnopf2nEUcanAwstx,5iCY0TXNImK4hyKfcplQsg,Baarishein,82
Pritam,1wRPtKGflJrBx9BmLsSwlU,4blqlsA1uf2d2I40E90EUC,"Tere Hawaale (From ""Laal Singh Chaddha"")",81
Kaifi Khalil,1n9EM0Y4A89vuRiA93gSS9,4VsP4Dm8gsibRxB5I2hEkw,Kahani Suno 2.0,84
Pritam,1wRPtKGflJrBx9BmLsSwlU,2ZD4aIEepqZsdxPxLSuUhm,Tere Pyaar Mein,84
Shubh,5r3wPya2PpeTTsXsGhQU8O,08Isz2ETWSBhvIl8UpKYsp,No Love,84
Chani Nattan,1sSYaQBOI71QZDZ9OWW3hp,3wz2vWhYnnBoFmgMkqtzLy,Daku,83
Ikky,3nqS8jzqmsPKFJTp0BOIel,42TMa2hgBNjte4uV7jNCnQ,Baller,83
B Praak,56SjZARoEvag3RoKWIb16j,6t7PuZfHAtNGheWisgUq3I,Kya Loge Tum,82
Tanishk Bagchi,4f7KfxeHq9BiylGmyXepGt,2rOnSn2piaqLAlYjtfUBlY,"Raataan Lambiyan (From ""Shershaah"")",80
Pritam,1wRPtKGflJrBx9BmLsSwlU,1smFN2CLqGROu0J0UyvDfL,Shayad,79
Cheema Y,0uOUeC51AxGnP6hB8gurwt,610keNiNVTIkYD0CqeSerg,California Love,80
Various Artists,0LyfQWJT6nXafLPZqxe9Of,4QyX8CBSjcoq4iMZuvifyF,"What Jhumka ? (From ""Rocky Aur Rani Kii Prem Kahaani"")",59
Sachet-Parampara,1SyKki7JI1AZNKwgNMkn25,5aMLADD1Ho6Ogq8s8mIzB9,"Ram Siya Ram (From ""Adipurush"")",79
Daddy Yankee,4VMYDCV2IEDYJArk749S6m,228BxWXUYQPJrJYHDLOHkj,Gasolina,89
Laddi Chahal,3lmszXxkp47K9kDCRRPU8p,03yKEFruN3BS2coglBtt2N,Rubicon Drill,82
Various Artists,0LyfQWJT6nXafLPZqxe9Of,6TClJ8jXi3OBV7gcrU3jx5,TERE TE,80
Arijit Singh,4YRxDV8wJFPHPTeXepOstw,2Fv2injs4qAm8mJBGaxVKU,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",78
AP Dhillon,6LEG9Ld1aLImEFEVHdWNSB,29m79w9xPMH4YCD6r8JSmV,Excuses,82
Pritam,1wRPtKGflJrBx9BmLsSwlU,2vPrBucKCfKmafHhSfJ2pt,"Pyaar Hota Kayi Baar Hai (From ""Tu Jhoothi Main Makkaar"")",82
Madhur Sharma,2kfi47LWmlXzQ3p3kWonfQ,3mUkVsovIuscQlSoMhmAZt,Kali Kali Zulfon Ke (Lo-Fi),78
Various Artists,0LyfQWJT6nXafLPZqxe9Of,72zHuDxFQTjbL51qJQSA7j,"Ranjha (From ""Shershaah"")",80
Vishal Mishra,5wJ1H6ud777odtZl5gG507,0645eBDehHcqfiF15hscQV,"Janiye (from the Netflix Film ""Chor Nikal Ke Bhaga"")",74
Vishal Mishra,5wJ1H6ud777odtZl5gG507,1y1rQTkWmrZdJmjwuK07GC,"Kaise Hua (From ""Kabir Singh"")",76
Payal Dev,6FtZhorjCMfkaVJ7kKdmq7,3dpM3ijJz0vGzbkh5DcMXz,"Naseeb Se (From ""Satyaprem Ki Katha"")",79
Sachin-Jigar,1mBydYMVBECdDmMfE2sEUO,6udC4b4jOSnHb9ItnXgKLR,Saibo,80
B Praak,56SjZARoEvag3RoKWIb16j,2Y2l0h051Vk4qUG2ZH7KKy,Yaar Ka Sataya Hua Hai,78
Sidhu Moose Wala,4PULA4EFzYTrxYvOVlwpiQ,5W7DOVGQLTigu09afW7QMT,295,82
Vishal Mishra,5wJ1H6ud777odtZl5gG507,0UZLaEOSIc5kg0cc7eszqC,Manjha,80
