name,artist_id,track_id,track_name,popularity
YOASOBI,64tJ2EAv1R6UaZqc4iOCyj,7ovUcF5uHTBRzUpB6ZOmvt,アイドル,91
Jung Kook,6HaGTQPmzraVmaVxvz6EUc,7x9aauaA9cu6tyfpHnqDLo,Seven (feat. Latto) (Explicit Ver.),98
Vaundy,2IUl3m1H1EQ7QfNbNWvgru,10zz9RZt9DnqcxNWksRNrx,怪獣の花唄,81
SPITZ,5kjGRHClVacSyllOUqU1S0,1H3qOzheTPhE7aVvJOWfvA,美しい鰭,77
Tatsuya Kitani,7mvhRvEAHiCTQHUnH7fgnv,12usPU2WnqgCHAW1EK2dfd,青のすみか,81
Mrs. GREEN APPLE,4QvgGvpgzgyUOo8Yp8LDm9,170XOP1T4MvY9TLTgPw07D,Magic,72
Mrs. GREEN APPLE,4QvgGvpgzgyUOo8Yp8LDm9,4NaaF28BeO9WzjDrSS71Nz,ダンスホール,79
Mrs. GREEN APPLE,4QvgGvpgzgyUOo8Yp8LDm9,5BC6kr6etk2Y9J62AyI4i3,青と夏,77
OFFICIAL HIGE DANDISM,5Vo1hnCRmCM6M4thZCInCj,6wffxmLgeZTbvS1hYvLkht,Tattoo,62
OFFICIAL HIGE DANDISM,5Vo1hnCRmCM6M4thZCInCj,4zrKPIygugUDKGFEjVwpSB,Subtitle,62
NewJeans,6HvZYsbFfjnjFrWF950C9d,5sdQOyqq2IDhvmx2lHOpwd,Super Shy,94
Mrs. GREEN APPLE,4QvgGvpgzgyUOo8Yp8LDm9,0teqQ0PYqVDyyXJuPOyMhu,ケセラセラ,71
MY FIRST STORY,6cutt8thPFUICMfxaYerWd,5m21ZR5lO6U0tp9KENxuCc,I'm a mess,71
Fujii Kaze,6bDWAcdtVR3WHz2xtiIPUi,2vMc8rqFmqs7RFi8NDx0CJ,Garden,62
MAN WITH A MISSION,3NTbOmzlj2cL86XFuDVFvZ,2VBLFxCUyFp5BfmsZpxcis,絆ノ奇跡,83
Conton Candy,6FuFgQvi3GNYr4yDuh4Fxq,7gUuCeZLFynSj28GCjoiGG,ファジーネーブル,76
YOASOBI,64tJ2EAv1R6UaZqc4iOCyj,7ajpbW6tBpqUI9foCtwlLw,祝福,80
natori,6WmXWHmfBMhupyIs8MSqtu,2Dzzhb1oV5ckgOjWZLraIB,Overdose,81
Mrs. GREEN APPLE,4QvgGvpgzgyUOo8Yp8LDm9,1sIIlVrnPhrvmTrHtzM7tV,点描の唄,77
Vaundy,2IUl3m1H1EQ7QfNbNWvgru,4QlSFkbRxZWkHDF1MqBaEY,そんなbitterな話,78
Tani Yuuki,0B1ce3uNrzkdm76NXI4mhX,3cBghvTcQNDNkW98Y4eGaP,W / X / Y,60
Yuuri,0ixzjrK1wkN2zWBXt3VW3W,7M0dIdZWN1FDcveRdoOzbZ,ビリミリオン,75
Yuuri,0ixzjrK1wkN2zWBXt3VW3W,4JK1kDUdH9RTBQrrSO1QfR,ベテルギウス,77
imase,4TaSvnT5o4REFwhqfrmK27,0bdAQ9dwLA5cJtgM05PRKW,Nagisa,77
Mrs. GREEN APPLE,4QvgGvpgzgyUOo8Yp8LDm9,3YML5IHoqWbw9c9vJJvrvM,Soranji,69
QUEEN BEE,6whFEcaV75AmQMiwlfaxvc,45LUKiex0D78VuhP3Oz6mG,メフィスト,80
Saucy Dog,4WqXqPmUuenMIr4QaFrZXN,4UALTBWz0OdQcjbTsjFceV,Cinderella Boy,55
NewJeans,6HvZYsbFfjnjFrWF950C9d,3r8RuvgbX9s7ammBn07D3W,Ditto,89
YOASOBI,64tJ2EAv1R6UaZqc4iOCyj,1zd35Y44Blc1CwwVbW3Qnk,群青,78
ヨルシカ,4UK2Lzi6fBfUi9rpDt6cik,3wJHCry960drNlAUGrJLmz,ただ君に晴れ,77
Kenshi Yonezu,1snhtMLeb2DYoMOcVbb8iB,3khEEPRyBeOUabbmOPJzAG,KICK BACK,84
NewJeans,6HvZYsbFfjnjFrWF950C9d,65FftemJ1DbbZ45DUfHJXE,OMG,91
back number,6rs1KAoQnFalSqSU4LTh8g,3RvdkNMcSy71m0aT6UF9Uf,水平線,73
Aimyon,5kVZa4lFUmAQlBogl1fkd6,2piySGAWgVwsRKm60SfOmF,ai no hana,53
Kenshi Yonezu,1snhtMLeb2DYoMOcVbb8iB,6x7SB38tuekpu4xpH9OIPY,地球儀,72
Macaroni Empitsu,1t17z3vfuc82cxSDMrvryJ,5W7Y92LB4jWvu9NeEQ0GZl,なんでもないよ、,74
MUKADE,4d1EYQLZDof8IHoNt8i9FR,69lJz2fXXptw0YU5hF3L47,KIMINOMAMA,45
Ado,6mEQK9m2krja6X1cfsAjfl,6A8NfypDHuwiLWbo4a1yca,New Genesis,69
Yuuri,0ixzjrK1wkN2zWBXt3VW3W,4kPlQKwtPrnqLgrmmKFSlA,ドライフラワー,74
10-FEET,0QZqdhoRQkn1VphAa5eX8h,6zjk7Qbwb9DZ4ykUUoqknh,第ゼロ感,73
Novelbright,0jWCX6zp4RjWrmZRxJ2uri,1VHL1PIkhDwWbFc65xHwOr,愛とか恋とか,74
back number,6rs1KAoQnFalSqSU4LTh8g,34ayWAUrQcrjlKZOJAzqke,アイラブユー,73
Fujii Kaze,6bDWAcdtVR3WHz2xtiIPUi,51oc6MEsXTpnPn6GOw5VuP,きらり,76
LE SSERAFIM,4SpbR6yFEvexJuaBpgAU5p,51vRumtqbkNW9wrKfESwfu,UNFORGIVEN (feat. Nile Rodgers),88
Kenshi Yonezu,1snhtMLeb2DYoMOcVbb8iB,5xoar7MhzRUVqJvGpAtxfP,月を見ていた,75
Macaroni Empitsu,1t17z3vfuc82cxSDMrvryJ,0NUJhYxwcAAB4UQULseQyX,リンジュー・ラヴ,75
OFFICIAL HIGE DANDISM,5Vo1hnCRmCM6M4thZCInCj,278JqkBGkjDovOYAwE8TW7,115万キロのフィルム,75
IVE,6RHTUrRF63xao58xh9FXYJ,70t7Q6AYG6ZgTYmJWcnkUM,I AM,88
Kenshi Yonezu,1snhtMLeb2DYoMOcVbb8iB,7w6NWogvAAFdEhD9MA2uvv,LADY,76
natori,6WmXWHmfBMhupyIs8MSqtu,6MXlv5l2I2BRa9pO38dE1a,フライデー・ナイト,76
