name,artist_id,track_id,track_name,popularity,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,"Genre 1","Genre 2","Genre 3","Genre 4","Genre 5"
"Peso Pluma",12GqGscKJx3aE4t07u7eVZ,7mXuWTczZNxG5EDcjFEuJR,"LADY GAGA",93,7mXuWTczZNxG5EDcjFEuJR,0.646,0.736,5,-7.118,0,0.0449,0.216,0.0,0.415,0.873,140.098,212878,3,"sad sierreno","","","",""
"Fuerza Regida",0ys2OFYzWYB5hRDLCsBqxt,1UMm1Qs3u59Wvk53zBUE8r,"SABOR FRESA",94,1UMm1Qs3u59Wvk53zBUE8r,0.785,0.863,7,-4.599,0,0.0893,0.0883,0.0,0.0929,0.962,130.132,156501,3,corrido,"corridos tumbados","sad sierreno",sierreno,""
"Myke Towers",7iK8PXO48WeuP03g8YR51W,7ABLbnD53cQK00mhcaOUVG,LALA,99,7ABLbnD53cQK00mhcaOUVG,0.708,0.737,1,-4.045,1,0.0436,0.0739,0.00162,0.0955,0.607,91.986,197920,4,reggaeton,"trap latino","urbano latino","",""
"Junior H",7Gi6gjaWy3DxyilpF1a8Is,1haJsMtoBhHfvuM7XWuT3W,"El Azul",94,1haJsMtoBhHfvuM7XWuT3W,0.558,0.648,9,-7.081,0,0.055,0.226,7.76e-06,0.0986,0.844,143.876,187226,3,corrido,"corridos tumbados","musica mexicana","sad sierreno",sierreno
"Fuerza Regida",0ys2OFYzWYB5hRDLCsBqxt,368eeEO3Y2uZUQ6S5oIjcu,TQM,95,368eeEO3Y2uZUQ6S5oIjcu,0.786,0.853,5,-4.955,0,0.0589,0.273,0.0,0.106,0.963,125.107,157252,3,corrido,"corridos tumbados","sad sierreno",sierreno,""
"Peso Pluma",12GqGscKJx3aE4t07u7eVZ,7bPp2NmpmyhLJ7zWazAXMu,TULUM,92,7bPp2NmpmyhLJ7zWazAXMu,0.557,0.866,6,-4.454,1,0.0503,0.394,0.0,0.11,0.631,167.767,209415,4,"sad sierreno","","","",""
"Grupo Frontera",6XkjpgcEsYab502Vr1bBeW,6pD0ufEQq0xdHSsRbg9LBK,"un x100to",98,6pD0ufEQq0xdHSsRbg9LBK,0.569,0.724,6,-4.076,0,0.0474,0.228,0.0,0.27,0.562,83.118,194563,4,"musica chihuahuense","","","",""
"Yng Lvcas",1NNRWkhwmcXRimFYSBpB1y,2UW7JaomAMuX9pZrjVpHAU,"La Bebe - Remix",98,2UW7JaomAMuX9pZrjVpHAU,0.812,0.479,2,-5.678,0,0.333,0.213,1.21e-06,0.0756,0.559,169.922,234353,4,reggaeton,"","","",""
"Eslabon Armado",0XeEobZplHxzM9QzFQWLiR,3qQbCzHBycnDpGskqOWY0E,"Ella Baila Sola",92,3qQbCzHBycnDpGskqOWY0E,0.668,0.758,5,-5.176,0,0.0332,0.483,1.89e-05,0.0837,0.834,147.989,165671,3,corrido,"corridos tumbados","sad sierreno",sierreno,""
Bizarrap,716NhGYqD1jl2wI1Qkgq36,5AqiaZwhmC6dIbgWrD5SzV,"Peso Pluma: Bzrp Music Sessions, Vol. 55",96,5AqiaZwhmC6dIbgWrD5SzV,0.854,0.668,5,-7.848,0,0.0466,0.264,5.61e-05,0.117,0.805,132.966,187660,3,"argentine hip hop","pop venezolano","trap argentino","trap latino","urbano latino"
