name,artist_id,track_id,track_name,popularity,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,"Genre 1","Genre 2","Genre 3","Genre 4","Genre 5","Genre 6"
Asake,3a1tBryiczPAZpgoZN9Rzg,5ZtK8XAVnoaGdBXZWCEVCY,"Lonely At The Top",76,5ZtK8XAVnoaGdBXZWCEVCY,0.778,0.801,6,-7.326,0,0.106,0.692,0.000155,0.0912,0.914,104.986,157714,4,afrobeats,"nigerian pop","","","",""
"Omah Lay",5yOvAmpIR7hVxiS6Ls5DPO,747cO9FmyVvRCrsRusfwdL,reason,69,747cO9FmyVvRCrsRusfwdL,0.753,0.693,2,-8.111,1,0.245,0.373,0.000234,0.12,0.869,107.985,147363,4,afrobeats,"nigerian pop","","","",""
Shallipopi,4TKhxSkqClXrdtUWgKqHVU,2tQMxGMxZIsXez0oVkHg2U,Obapluto,66,2tQMxGMxZIsXez0oVkHg2U,0.814,0.923,6,-3.753,0,0.0878,0.208,0.0,0.248,0.622,114.007,170606,4,"viral afropop","","","","",""
Shallipopi,4TKhxSkqClXrdtUWgKqHVU,3Q4oVlA6z9TH0jhaDl6aNT,"Ex Convict",66,3Q4oVlA6z9TH0jhaDl6aNT,0.87,0.82,1,-5.369,1,0.0634,0.355,0.0,0.184,0.509,111.965,202606,4,"viral afropop","","","","",""
Asake,3a1tBryiczPAZpgoZN9Rzg,2H0w7oYDjUvgsFlNQ5swIg,Basquiat,76,2H0w7oYDjUvgsFlNQ5swIg,0.825,0.767,5,-7.893,1,0.0418,0.547,4.6e-06,0.0914,0.857,115.957,134483,4,afrobeats,"nigerian pop","","","",""
Asake,3a1tBryiczPAZpgoZN9Rzg,1YgIvHDTvi1vosins1jyAC,Amapiano,72,1YgIvHDTvi1vosins1jyAC,0.852,0.599,5,-8.608,0,0.091,0.245,0.0,0.151,0.668,111.992,165000,4,afrobeats,"nigerian pop","","","",""
Asake,3a1tBryiczPAZpgoZN9Rzg,1n3JvneU8FhfldfTQ8BdZs,2:30,70,1n3JvneU8FhfldfTQ8BdZs,0.866,0.702,8,-8.965,1,0.136,0.331,0.000156,0.0519,0.861,117.99,138305,4,afrobeats,"nigerian pop","","","",""
Davido,0Y3agQaa6g2r0YmHPOO9rh,1mk8ZC9OeTZMr8Wy31LqRj,FEEL,76,1mk8ZC9OeTZMr8Wy31LqRj,0.837,0.831,2,-6.21,1,0.08,0.0923,0.176,0.0819,0.529,111.978,154513,4,afrobeats,afropop,azontobeats,"ghanaian hip hop","nigerian pop",""
ODUMODUBLVCK,3LOm0AZjpwVQebvkyanjDy,1sEIkVGd7fG4K5wFQS6f6y,"DECLAN RICE",69,1sEIkVGd7fG4K5wFQS6f6y,0.702,0.783,7,-5.204,1,0.23,0.031,0.032,0.0889,0.667,187.986,123713,4,"afro drill",afrobeats,"nigerian pop","","",""
Bnxn,3zaDigUwjHvjOkSn0NDf9x,6wuMo4ZR83PhlhXhJ1S3VY,GWAGWALADA,74,6wuMo4ZR83PhlhXhJ1S3VY,0.838,0.569,4,-8.414,0,0.0529,0.194,0.0377,0.0802,0.63,113.046,190542,4,afrobeats,"nigerian pop","","","",""
