artist_id,name,Genre 1,Genre 2,Genre 3,Genre 4,Genre 5,Genre 6
3a1tBryiczPAZpgoZN9Rzg,Asake,afrobeats,nigerian pop,,,,
5yOvAmpIR7hVxiS6Ls5DPO,Omah Lay,afrobeats,nigerian pop,,,,
4TKhxSkqClXrdtUWgKqHVU,Shallipopi,viral afropop,,,,,
4TKhxSkqClXrdtUWgKqHVU,Shallipopi,viral afropop,,,,,
3a1tBryiczPAZpgoZN9Rzg,Asake,afrobeats,nigerian pop,,,,
3a1tBryiczPAZpgoZN9Rzg,Asake,afrobeats,nigerian pop,,,,
3a1tBryiczPAZpgoZN9Rzg,Asake,afrobeats,nigerian pop,,,,
0Y3agQaa6g2r0YmHPOO9rh,Davido,afrobeats,afropop,azontobeats,ghanaian hip hop,nigerian pop,
3LOm0AZjpwVQebvkyanjDy,ODUMODUBLVCK,afro drill,afrobeats,nigerian pop,,,
3zaDigUwjHvjOkSn0NDf9x,Bnxn,afrobeats,nigerian pop,,,,
3WTrdbZU99dgTtt3ZkyamT,Oxlade,afrobeats,nigerian pop,,,,
2a0uxJgbvvIRI4GX8pYfcr,J Hus,afroswing,grime,uk hip hop,,,
3a1tBryiczPAZpgoZN9Rzg,Asake,afrobeats,nigerian pop,,,,
6Ip8FS7vWT1uKkJSweANQK,Dave,uk hip hop,,,,,
2a0uxJgbvvIRI4GX8pYfcr,J Hus,afroswing,grime,uk hip hop,,,
46pWGuE3dSwY3bMMXGBvVS,Rema,afrobeats,nigerian pop,,,,
12kjvw4e3gLp6qVHO65n7W,Blaqbonez,afrobeats,nigerian hip hop,nigerian pop,,,
2IK173RXLiCSQ8fhDlAb3s,Adekunle Gold,afrobeats,afropop,alte,azontobeats,nigerian hip hop,nigerian pop
3a1tBryiczPAZpgoZN9Rzg,Asake,afrobeats,nigerian pop,,,,
3LOm0AZjpwVQebvkyanjDy,ODUMODUBLVCK,afro drill,afrobeats,nigerian pop,,,
4zmZ8lVLzGc84S4v2B1rLx,Seyi Vibez,afrobeats,nigerian pop,,,,
7KiINhQdLAupkwvJ0EelGG,KCee,afrobeats,afropop,igbo pop,nigerian pop,,
2a0uxJgbvvIRI4GX8pYfcr,J Hus,afroswing,grime,uk hip hop,,,
3LOm0AZjpwVQebvkyanjDy,ODUMODUBLVCK,afro drill,afrobeats,nigerian pop,,,
4JM1zsVj1pt38Q8mhv5teI,Young Jonn,afrobeats,nigerian pop,,,,
0Y3agQaa6g2r0YmHPOO9rh,Davido,afrobeats,afropop,azontobeats,ghanaian hip hop,nigerian pop,
4ovtyvs7j1jSmwhkBGHqSr,Olamide,afrobeats,afropop,azonto,nigerian hip hop,nigerian pop,
3a1tBryiczPAZpgoZN9Rzg,Asake,afrobeats,nigerian pop,,,,
0Y3agQaa6g2r0YmHPOO9rh,Davido,afrobeats,afropop,azontobeats,ghanaian hip hop,nigerian pop,
4tIKaxUmpXzshok2yCnwdf,King Promise,afrobeats,ghanaian alternative,ghanaian pop,,,
4TKhxSkqClXrdtUWgKqHVU,Shallipopi,viral afropop,,,,,
5yOvAmpIR7hVxiS6Ls5DPO,Omah Lay,afrobeats,nigerian pop,,,,
3a1tBryiczPAZpgoZN9Rzg,Asake,afrobeats,nigerian pop,,,,
3a1tBryiczPAZpgoZN9Rzg,Asake,afrobeats,nigerian pop,,,,
3zaDigUwjHvjOkSn0NDf9x,Bnxn,afrobeats,nigerian pop,,,,
3a1tBryiczPAZpgoZN9Rzg,Asake,afrobeats,nigerian pop,,,,
4TKhxSkqClXrdtUWgKqHVU,Shallipopi,viral afropop,,,,,
0Y3agQaa6g2r0YmHPOO9rh,Davido,afrobeats,afropop,azontobeats,ghanaian hip hop,nigerian pop,
0a1SidMjD8D6EHvJph4n2H,Ruger,afrobeats,,,,,
2hlmm7s2ICUX0LVIhVFlZQ,Gunna,atl hip hop,melodic rap,rap,trap,,
46pWGuE3dSwY3bMMXGBvVS,Rema,afrobeats,nigerian pop,,,,
1hNaHKp2Za5YdOAG0WnRbc,Tiwa Savage,afrobeats,afropop,azonto,azontobeats,nigerian pop,
1XavfPKBpNjkOfxHINlMHF,Joeboy,afrobeats,afropop,nigerian pop,,,
3LOm0AZjpwVQebvkyanjDy,ODUMODUBLVCK,afro drill,afrobeats,nigerian pop,,,
3a1tBryiczPAZpgoZN9Rzg,Asake,afrobeats,nigerian pop,,,,
4JM1zsVj1pt38Q8mhv5teI,Young Jonn,afrobeats,nigerian pop,,,,
4TKhxSkqClXrdtUWgKqHVU,Shallipopi,viral afropop,,,,,
4zmZ8lVLzGc84S4v2B1rLx,Seyi Vibez,afrobeats,nigerian pop,,,,
4TKhxSkqClXrdtUWgKqHVU,Shallipopi,viral afropop,,,,,
3hcs9uc56yIGFCSy9leWe7,Lil Durk,chicago drill,chicago rap,drill,hip hop,rap,trap
