name,artist_id,track_id,track_name,popularity
Asake,3a1tBryiczPAZpgoZN9Rzg,5ZtK8XAVnoaGdBXZWCEVCY,Lonely At The Top,76
Omah Lay,5yOvAmpIR7hVxiS6Ls5DPO,747cO9FmyVvRCrsRusfwdL,reason,69
Shallipopi,4TKhxSkqClXrdtUWgKqHVU,2tQMxGMxZIsXez0oVkHg2U,Obapluto,66
Shallipopi,4TKhxSkqClXrdtUWgKqHVU,3Q4oVlA6z9TH0jhaDl6aNT,Ex Convict,66
Asake,3a1tBryiczPAZpgoZN9Rzg,2H0w7oYDjUvgsFlNQ5swIg,Basquiat,76
Asake,3a1tBryiczPAZpgoZN9Rzg,1YgIvHDTvi1vosins1jyAC,Amapiano,72
Asake,3a1tBryiczPAZpgoZN9Rzg,1n3JvneU8FhfldfTQ8BdZs,2:30,70
Davido,0Y3agQaa6g2r0YmHPOO9rh,1mk8ZC9OeTZMr8Wy31LqRj,FEEL,76
ODUMODUBLVCK,3LOm0AZjpwVQebvkyanjDy,1sEIkVGd7fG4K5wFQS6f6y,DECLAN RICE,69
Bnxn,3zaDigUwjHvjOkSn0NDf9x,6wuMo4ZR83PhlhXhJ1S3VY,GWAGWALADA,74
Oxlade,3WTrdbZU99dgTtt3ZkyamT,5YEVBJnnt2qMM67NGCjEdV,INTOXYCATED (feat. Dave),76
J Hus,2a0uxJgbvvIRI4GX8pYfcr,4M6yrN4rJUrwNgHzGKfrN1,Masculine (feat. Burna Boy),74
Asake,3a1tBryiczPAZpgoZN9Rzg,3Yr0vIcfXq5MWdSDmZzKgk,Sunshine,71
Dave,6Ip8FS7vWT1uKkJSweANQK,2FDTHlrBguDzQkp7PVj16Q,Sprinter,97
J Hus,2a0uxJgbvvIRI4GX8pYfcr,0oBDJWGnTJs9C0Ax90tMj0,Militerian (feat. Naira Marley),72
Rema,46pWGuE3dSwY3bMMXGBvVS,1iBWjQ9af9NnUd5xnQDB3k,Charm,81
Blaqbonez,12kjvw4e3gLp6qVHO65n7W,61iDSv1MgCsdo0zKXGxvCO,Like Ice Spice,64
Adekunle Gold,2IK173RXLiCSQ8fhDlAb3s,0Em4eY10PGyiBlmjWxcav3,Party No Dey Stop,76
Asake,3a1tBryiczPAZpgoZN9Rzg,3YPtN5X0HxIzeRCHxfoXTy,Mogbe,70
ODUMODUBLVCK,3LOm0AZjpwVQebvkyanjDy,2ITJKfLesLib9xo0hWVT1V,"DOG EAT DOG II (feat. Cruel Santino, Bella Shmurda)",67
Seyi Vibez,4zmZ8lVLzGc84S4v2B1rLx,4UdDJ77xjH9ru5r5F9kfOG,Man of The Year,66
KCee,7KiINhQdLAupkwvJ0EelGG,6WZVnqQ9OZRSGZmXyHHlV3,Ojapiano,70
J Hus,2a0uxJgbvvIRI4GX8pYfcr,6kgaI3kHkqmRimeGQdS4Ga,Who Told You (feat. Drake),71
ODUMODUBLVCK,3LOm0AZjpwVQebvkyanjDy,5UautcyJDjHxwnejNAkfg9,FIREGUN (feat. Fireboy DML),64
Young Jonn,4JM1zsVj1pt38Q8mhv5teI,59sAr7NvZDeH7oYrkiyZcQ,Aquafina,69
Davido,0Y3agQaa6g2r0YmHPOO9rh,7vKXc90NT5WBm3UTT4iTVG,KANTE (feat. Fave),74
Olamide,4ovtyvs7j1jSmwhkBGHqSr,2KwnwVXtAlpSDdRVO9ccTJ,New Religion,70
Asake,3a1tBryiczPAZpgoZN9Rzg,4PKxskDMb62jvG5Li46vkH,I Believe,69
Davido,0Y3agQaa6g2r0YmHPOO9rh,2kaH2Z8ezDUKf6fNw250rZ,UNAVAILABLE (feat. Musa Keys),85
King Promise,4tIKaxUmpXzshok2yCnwdf,1oq33HJBs0rDmjjZ2rVFyG,Terminator,70
Shallipopi,4TKhxSkqClXrdtUWgKqHVU,1RnRPPu3XPtftOhs1qF1hY,Elon musk,64
Omah Lay,5yOvAmpIR7hVxiS6Ls5DPO,1wADwLSkYhrSmy4vdy6BRn,soso,79
Asake,3a1tBryiczPAZpgoZN9Rzg,16aRxdbEl0smktrm0hK0eX,Great Guy,68
Asake,3a1tBryiczPAZpgoZN9Rzg,0Q1bMs3xLQiDEeaneehdxv,Remember,69
Bnxn,3zaDigUwjHvjOkSn0NDf9x,69bvwTwKZBlynqbMyZmEO2,PRAY,67
Asake,3a1tBryiczPAZpgoZN9Rzg,2LjZYCOYldHWhzQ1G5XJ81,What's Up My G,69
Shallipopi,4TKhxSkqClXrdtUWgKqHVU,68KDqjQ5T2gS0Pk47Somna,Elon Musk - Remix,60
Davido,0Y3agQaa6g2r0YmHPOO9rh,5DttTktPy0RMZPz4UNfFm4,NO COMPETITION (feat. Asake),71
