id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
7x9aauaA9cu6tyfpHnqDLo,0.802,0.832,11,-4.107,1,0.0434,0.311,0.0,0.0815,0.89,124.997,185427,4
7hU3IHwjX150XLoTVmjD0q,0.831,0.554,1,-9.998,0,0.218,0.161,6.12e-05,0.152,0.396,140.026,168228,4
7uQZVznj0uQOGC9KhV2Mg6,0.806,0.653,8,-6.283,1,0.0902,0.0282,0.000784,0.107,0.85,150.058,200690,4
5Zlwu2g4rzTNfyu28L1bWv,0.559,0.37,2,-8.207,1,0.0389,0.795,0.0,0.113,0.291,121.869,266557,4
3Ua0m0YmEjrMi9XErKcNiR,0.629,0.733,7,-5.445,1,0.0419,0.0025,0.0,0.357,0.362,120.001,212241,4
5OaXaynJZgklXEwzhouey5,0.495,0.702,9,-5.603,1,0.0324,0.0997,9.69e-06,0.328,0.461,180.077,232750,4
69CrOS7vEHIrhC2ILyEi0s,0.841,0.384,9,-7.684,0,0.0351,0.0236,2.28e-06,0.0735,0.597,123.961,173134,4
7BUHKcrvmr9WIAgEBkwukl,0.579,0.341,7,-10.106,1,0.0272,0.521,0.103,0.147,0.375,90.061,270033,4
5sdQOyqq2IDhvmx2lHOpwd,0.776,0.817,5,-6.018,0,0.0748,0.18,3.44e-05,0.146,0.515,149.921,154667,4
5Odq8ohlgIbQKMZivbWkEo,0.881,0.592,2,-4.898,1,0.0324,0.619,1.32e-05,0.0901,0.719,101.058,154487,4
5IAESfJjmOYu7cHyX557kz,0.617,0.589,7,-5.978,1,0.0345,0.0268,0.0,0.378,0.566,92.991,229953,4
5HrIcZOo1DysX53qDRlRnt,0.763,0.699,11,-6.118,0,0.0554,0.00789,0.0,0.409,0.255,110.01,205101,4
38uarkAk3Y13onWxwj0MIq,0.418,0.634,9,-6.664,1,0.0362,0.624,0.0,0.128,0.375,186.026,293226,4
7KmY6wBpheP60rFEJPJBqN,0.563,0.424,6,-6.757,1,0.0453,0.503,0.0,0.196,0.279,188.014,188617,3
7cwlsNRPvS8v5IqgdScwM8,0.638,0.188,7,-15.922,1,0.0526,0.853,0.0,0.137,0.368,75.125,313938,4
0ZcyX8hFV1jdJNWOI8mMXF,0.562,0.325,7,-13.669,1,0.0314,0.87,2.39e-05,0.0903,0.474,131.799,246818,3
7jq0O5rfrzEIqNOsc7v9JT,0.689,0.721,7,-6.583,1,0.0589,0.244,0.0,0.31,0.307,92.067,205435,4
3vdZ30MzgeTe5PiJXEmqjr,0.469,0.727,2,-7.484,1,0.0263,0.246,0.000918,0.27,0.341,176.011,296000,4
03Yp2uEOtPGHQ6E9XSjmyv,0.544,0.582,11,-6.846,1,0.0375,0.409,4.47e-06,0.342,0.359,162.075,264444,4
1BxfuPKGuaTgP7aM0Bbdwr,0.552,0.702,9,-5.707,1,0.157,0.117,2.06e-05,0.105,0.564,169.994,178427,4
5DMALWZOGyyc7noptzvF2j,0.579,0.482,1,-9.512,0,0.0512,0.572,1.11e-06,0.238,0.465,80.006,197250,4
3XCoEJvCYqTbM8bhples8N,0.77,0.677,10,-6.427,1,0.0589,0.526,0.000483,0.128,0.942,135.982,246838,4
3vfwUrq22haMmIJyyyI7Hq,0.563,0.852,11,-7.114,1,0.0319,0.0175,0.00135,0.108,0.764,135.012,188500,4
5LEp7WRnb0T3L2R2mTa9IZ,0.504,0.589,10,-7.492,1,0.0271,0.0493,0.00451,0.16,0.491,142.047,277962,4
45dtFcaOs4lBf8gXAAoN8W,0.703,0.566,2,-6.878,1,0.0337,0.449,0.000136,0.359,0.425,87.965,199145,4
47WfK6QKlLwIOxJaonJ3bA,0.69,0.698,6,-6.294,1,0.04,0.271,0.0,0.102,0.732,144.053,248333,4
7FbrGaHYVDmfr7KoLIZnQ7,0.783,0.592,11,-8.332,0,0.0331,0.435,4.15e-06,0.347,0.726,120.018,174253,4
3MIVadmVbWGZR0VzNceGt1,0.641,0.582,9,-8.298,1,0.0356,0.758,0.143,0.184,0.624,147.951,197432,4
2RJ7Q3gHb6cOeNBioSARni,0.573,0.874,11,-4.859,1,0.0271,0.101,0.0,0.0798,0.571,101.976,256875,4
3qMYr2bVu2HpSKrSJ2zj8K,0.422,0.391,2,-8.529,1,0.0359,0.548,0.189,0.14,0.628,170.401,235059,4
3Ry2KPewzbt43hiQPTnDTK,0.578,0.569,9,-8.811,1,0.0786,0.441,0.00883,0.112,0.734,168.132,225714,4
1rNYuv63emsYt4Jjv8RlgJ,0.631,0.822,5,-4.793,1,0.0269,0.213,0.00101,0.212,0.879,149.886,240008,4
0gfAnUVd4sH8IiCWvF3j9P,0.486,0.853,11,-4.68,1,0.0958,0.173,0.0,0.165,0.785,166.096,218731,4
4fwPmzupzsPEzwquuuVaiw,0.605,0.452,11,-8.951,1,0.0264,0.47,2.98e-06,0.124,0.294,140.027,288250,4
6IPNp9PfaEqrzotY47TIWy,0.8,0.837,6,-2.807,0,0.0491,0.00406,0.00313,0.0904,0.702,100.015,225600,4
2MvwYhejHpLfBcptTEWhDL,0.594,0.799,9,-5.808,1,0.0245,0.0746,1.52e-05,0.0923,0.632,99.978,255750,4
4Z64nGulQN49i9D03NcF8a,0.783,0.642,7,-8.578,1,0.1,0.391,4.79e-06,0.115,0.682,100.022,230400,4
65FftemJ1DbbZ45DUfHJXE,0.804,0.771,9,-4.067,0,0.0433,0.357,3.07e-06,0.108,0.739,126.956,212253,4
4gNkIyfaf2iwPgeLSVIj8O,0.569,0.455,4,-10.193,1,0.0286,0.392,1.43e-05,0.0954,0.24,108.954,262387,4
4CdW5KKyIjrpx6Hz981dUt,0.545,0.732,2,-3.758,1,0.0613,0.756,0.0,0.0706,0.263,163.971,289756,4
1UxVMaHEm6UJxGOg4ixSZO,0.67,0.681,2,-4.394,1,0.0365,0.243,0.0,0.165,0.731,140.026,168857,4
7gRFDGEzF9UkBV233yv2dc,0.818,0.69,0,-5.119,1,0.0454,0.00327,0.0,0.186,0.688,110.071,175889,3
3LejSFG20mSl4IzORHa7Ya,0.748,0.777,10,-4.783,1,0.043,0.0471,0.00426,0.126,0.97,121.034,210875,4
