name,artist_id,track_id,track_name,popularity,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,"Genre 1","Genre 2","Genre 3","Genre 4","Genre 5","Genre 6"
Gunna,2hlmm7s2ICUX0LVIhVFlZQ,4rXLjWdF2ZZpXCVTfWcshS,"a Gift & a Curse",95,4rXLjWdF2ZZpXCVTfWcshS,0.847,0.622,1,-6.747,0,0.0903,0.119,0.0,0.285,0.22,130.001,125040,4,"atl hip hop","melodic rap",rap,trap,"",""
"Olivia Rodrigo",1McMsnEElThX1knmY4oliG,3k79jB4aGmMDUQzEwa46Rz,vampire,98,3k79jB4aGmMDUQzEwa46Rz,0.511,0.532,5,-5.745,1,0.056,0.169,0.0,0.311,0.322,137.827,219724,4,pop,"","","","",""
"Jung Kook",6HaGTQPmzraVmaVxvz6EUc,7x9aauaA9cu6tyfpHnqDLo,"Seven (feat. Latto)",97,7x9aauaA9cu6tyfpHnqDLo,0.802,0.832,11,-4.107,1,0.0434,0.311,0.0,0.0815,0.89,124.997,185427,4,k-pop,"","","","",""
"Morgan Wallen",4oUHIQIBe0LHzYfvXNW4QM,7K3BhSpAxZBznislvUMVtn,"One Thing At A Time",90,7K3BhSpAxZBznislvUMVtn,0.492,0.675,6,-5.456,1,0.0389,0.467,0.0,0.142,0.478,203.759,163855,4,"contemporary country","","","","",""
"Taylor Swift",06HL4z0CvFAxyc27GXpf02,1BxfuPKGuaTgP7aM0Bbdwr,Lover,100,1BxfuPKGuaTgP7aM0Bbdwr,0.552,0.702,9,-5.707,1,0.157,0.117,2.06e-05,0.105,0.564,169.994,178427,4,pop,"","","","",""
"Eslabon Armado",0XeEobZplHxzM9QzFQWLiR,3qQbCzHBycnDpGskqOWY0E,DESVELADO,93,3qQbCzHBycnDpGskqOWY0E,0.668,0.758,5,-5.176,0,0.0332,0.483,1.89e-05,0.0837,0.834,147.989,165671,3,corrido,"corridos tumbados","sad sierreno",sierreno,"",""
"Luke Combs",718COspgdWOnwOFpJHRZHS,1Lo0QY9cvc8sUB2vnIOxDT,"Gettin' Old",92,1Lo0QY9cvc8sUB2vnIOxDT,0.712,0.603,8,-5.52,1,0.0262,0.186,0.0,0.115,0.67,97.994,265493,4,"contemporary country",country,"","","",""
"Taylor Swift",06HL4z0CvFAxyc27GXpf02,5kHMfzgLZP95O9NBy0ku4v,"Speak Now (Taylor's Version)",93,5kHMfzgLZP95O9NBy0ku4v,0.694,0.764,6,-4.893,1,0.0337,0.0586,0.0,0.0608,0.819,123.044,273186,4,pop,"","","","",""
SZA,7tYKF4w9nC0nq9CsPZTHyP,1Qrg8KqiBpW07V7PNxwwwL,SOS,94,1Qrg8KqiBpW07V7PNxwwwL,0.644,0.735,8,-5.747,1,0.0391,0.0521,0.144,0.161,0.418,88.98,153947,4,pop,r&b,rap,"","",""
"Billie Eilish",6qqNVTkY8uBg9cP3Jd7DAH,6wf7Yu7cxBSPrRlWeSeK0Q,"What Was I Made For? [From The Motion Picture ""Barbie""]",89,6wf7Yu7cxBSPrRlWeSeK0Q,0.444,0.0911,0,-17.665,1,0.0307,0.959,1.05e-06,0.098,0.142,78.403,222370,4,"art pop",electropop,pop,"","",""
"Morgan Wallen",4oUHIQIBe0LHzYfvXNW4QM,5W4kiM2cUYBJXKRudNyxjW,"One Thing At A Time",87,5W4kiM2cUYBJXKRudNyxjW,0.732,0.839,9,-5.007,1,0.0345,0.265,0.0,0.602,0.629,119.724,157478,4,"contemporary country","","","","",""
"Nicki Minaj",0hCNtLu0JehylgoiP8L4Gh,741UUVE2kuITl0c6zuqqbO,"Barbie World (with Aqua) [From Barbie The Album]",91,741UUVE2kuITl0c6zuqqbO,0.77,0.58,0,-8.393,1,0.247,0.519,0.000127,0.233,0.753,144.072,109750,4,"hip pop",pop,"queens hip hop",rap,"",""
"Grupo Frontera",6XkjpgcEsYab502Vr1bBeW,6pD0ufEQq0xdHSsRbg9LBK,"un x100to",98,6pD0ufEQq0xdHSsRbg9LBK,0.569,0.724,6,-4.076,0,0.0474,0.228,0.0,0.27,0.562,83.118,194563,4,"musica chihuahuense","","","","",""
"Tyler, The Creator",4V8LLVI7PbaPR0K2TGSxFF,7KA4W4McWYRpgf0fWsJZWB,"Flower Boy",95,7KA4W4McWYRpgf0fWsJZWB,0.558,0.559,6,-9.222,1,0.0959,0.371,7.49e-06,0.109,0.62,78.558,180387,4,"hip hop",rap,"","","",""
NewJeans,6HvZYsbFfjnjFrWF950C9d,5sdQOyqq2IDhvmx2lHOpwd,"NewJeans 'Super Shy'",93,5sdQOyqq2IDhvmx2lHOpwd,0.776,0.817,5,-6.018,0,0.0748,0.18,3.44e-05,0.146,0.515,149.921,154667,4,k-pop,"k-pop girl group","","","",""
"Morgan Wallen",4oUHIQIBe0LHzYfvXNW4QM,3cBsEDNhFI9E82vPj3kvi3,"Dangerous: The Double Album",88,3cBsEDNhFI9E82vPj3kvi3,0.505,0.657,11,-5.24,0,0.0318,0.373,0.00107,0.126,0.252,196.0,178520,3,"contemporary country","","","","",""
"Yng Lvcas",1NNRWkhwmcXRimFYSBpB1y,2UW7JaomAMuX9pZrjVpHAU,"La Bebe (Remix)",99,2UW7JaomAMuX9pZrjVpHAU,0.812,0.479,2,-5.678,0,0.333,0.213,1.21e-06,0.0756,0.559,169.922,234353,4,reggaeton,"","","","",""
"Post Malone",246dkjvS1zLTtiykXe5h60,3t0ic4mkhvhamrKDkulB8v,Overdrive,85,3t0ic4mkhvhamrKDkulB8v,0.555,0.729,1,-5.062,1,0.0443,0.000374,0.000139,0.347,0.482,139.864,147680,4,"dfw rap","melodic rap",pop,rap,"",""
"Zach Bryan",40ZNYROS4zLfyyBSs2PGe2,3WMj8moIAXJhHsyLaqIIHI,"Something in the Orange",90,3WMj8moIAXJhHsyLaqIIHI,0.369,0.192,4,-12.151,0,0.04,0.555,8.35e-06,0.0954,0.148,175.212,228013,3,"classic oklahoma country","modern country pop","","","",""
